(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
0.2,2591.65,0,0,
0.2,2594.42,0,0,
0.2,2604.03,0,0,
0.2,2607.42,0,0,
(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
0.4,4.36058,0,0,
0.4,5.28704,0,1,
0.4,6.32991,0,1,
0.4,6.45506,1,1,
0.4,9.1155,0,0,
0.4,9.76937,0,1,
0.4,13.938,0,0,
0.4,15.4135,0,0,
0.4,15.5049,0,1,
0.4,24.8949,0,0,
0.4,25.6387,0,0,
0.4,27.4775,0,0,
0.4,42.3934,0,0,
0.4,44.6598,0,0,
0.4,45.2732,0,1,
0.4,46.7733,0,0,
0.4,55.4254,0,0,
0.4,55.712,0,0,
0.4,57.2022,0,0,
0.4,58.4532,0,0,
0.4,58.8155,0,0,
0.4,63.9651,0,0,
0.4,66.706,0,0,
0.4,68.2999,0,0,
0.4,70.0229,0,0,
0.4,73.8459,0,0,
0.4,75.6913,0,0,
0.4,79.0712,0,0,
0.4,80.1602,0,1,
0.4,80.8144,0,0,
0.4,87.1869,0,0,
0.4,88.8582,0,0,
0.4,89.2815,0,1,
0.4,97.1407,0,0,
0.4,98.5576,0,1,
0.4,102.061,0,0,
0.4,103.748,0,0,
0.4,104.016,0,1,
0.4,106.904,0,0,
0.4,110.469,0,0,
0.4,114.058,0,0,
0.4,115.92,0,1,
0.4,116.151,0,1,
0.4,116.705,1,1,
0.4,120.936,0,0,
0.4,122.82,0,0,
0.4,123.348,0,1,
0.4,123.918,0,1,
0.4,124.132,1,1,
0.4,125.251,2,1,
0.4,130.101,0,0,
0.4,130.411,0,1,
0.4,132.35,0,1,
0.4,134.482,0,0,
0.4,139.12,0,0,
0.4,147.3,0,0,
0.4,149.055,0,1,
0.4,149.148,1,1,
0.4,151.185,0,1,
0.4,151.596,0,0,
0.4,153.252,0,0,
0.4,156.381,0,0,
0.4,159.267,0,0,
0.4,161.336,0,0,
0.4,174.021,0,0,
0.4,175.854,0,0,
0.4,176.221,0,1,
0.4,180.128,0,0,
0.4,181.729,0,1,
0.4,184.833,0,0,
0.4,186.77,0,0,
0.4,195.086,0,0,
0.4,195.819,0,1,
0.4,198.31,0,0,
0.4,198.98,0,0,
0.4,199.075,0,1,
0.4,199.09,1,1,
0.4,199.16,1,1,
0.4,203.377,0,0,
0.4,211.892,0,0,
0.4,217.802,0,0,
0.4,218.921,0,0,
0.4,225.638,0,0,
0.4,226.239,0,0,
0.4,226.547,0,1,
0.4,227.787,1,1,
0.4,233.383,0,0,
0.4,234.893,0,0,
0.4,236.557,0,0,
0.4,238.128,0,0,
0.4,239.421,0,0,
0.4,243.347,0,0,
