(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,269.563,31,1,
1,269.918,31,1,
1,275.838,22,1,
1,276.374,22,1,
1,277.166,22,1,
1,279.25,21,1,
1,279.395,22,1,
1,279.705,23,1,
1,284.58,18,1,
1,285.313,19,1,
1,287.974,16,1,
1,288.242,17,1,
1,288.5,17,1,
1,288.774,18,1,
1,288.801,19,1,
1,288.852,20,1,
1,291.787,17,1,
1,293.872,17,1,
1,293.881,18,1,
1,294.04,19,1,
1,294.82,19,1,
1,294.906,20,1,
1,294.907,21,1,
1,295.93,22,1,
1,296.451,23,1,
1,296.915,23,1,
1,298.076,23,1,
1,298.707,23,1,
1,298.944,24,1,
1,299.047,24,1,
1,299.054,25,1,
1,300.556,25,1,
1,300.981,26,1,
1,302.91,26,1,
1,303.384,27,1,
1,303.624,27,1,
1,304.586,27,1,
1,304.822,28,1,
1,305.417,28,1,
1,305.475,29,1,
1,306.083,30,1,
1,307.218,30,1,
1,308.154,30,1,
1,308.798,29,1,
1,309.31,30,1,
1,309.484,31,1,
1,310.542,30,1,
1,311.571,30,1,
1,311.706,30,1,
1,313.444,30,1,
1,313.734,31,1,
1,314.15,32,1,
1,314.97,32,1,
1,316.928,31,1,
1,317.413,31,1,
1,317.558,32,1,
1,318.741,32,1,
1,321.298,29,1,
1,321.323,30,1,
1,321.855,30,1,
1,322.404,30,1,
1,325.297,28,1,
1,325.385,29,1,
1,325.731,29,1,
1,326.405,30,1,
1,326.752,31,1,
1,327.958,31,1,
1,328.346,30,1,
1,328.529,30,1,
1,329.324,29,1,
1,330.734,29,1,
1,332.445,27,1,
1,332.956,28,1,
1,333.012,29,1,
1,334.269,28,1,
1,334.315,28,1,
1,334.475,28,1,
1,334.481,29,1,
1,334.662,30,1,
1,334.96,31,1,
1,335.257,32,1,
1,336.084,32,1,
1,337.692,31,1,
1,338.419,31,1,
1,339.266,32,1,
1,339.469,33,1,
1,339.607,34,1,
1,340.264,33,1,
1,343.436,32,1,
1,344.463,32,1,
1,348.015,30,1,
1,348.148,31,1,
1,349.059,32,1,
1,349.739,32,1,
1,350.273,33,1,
1,350.555,33,1,
1,351.105,33,1,
1,351.11,34,1,
1,351.481,33,1,
1,354.565,29,1,
1,358.631,25,1,
1,359.757,24,1,
1,361.281,22,1,
1,361.362,23,1,
1,361.775,24,1,
1,362.417,24,1,
1,362.706,23,1,
1,364.19,24,1,
1,364.222,25,1,
1,364.483,25,1,
1,364.657,26,1,
1,365.621,27,1,
1,365.768,28,1,
1,365.964,29,1,
1,366.356,29,1,
1,368.049,29,1,
1,370.244,26,1,
1,370.883,26,1,
1,371.857,26,1,
1,371.995,27,1,
1,374.164,25,1,
1,374.421,26,1,
1,375.356,25,1,
1,375.594,26,1,
1,375.935,27,1,
1,376.32,28,1,
1,376.592,29,1,
1,376.621,30,1,
1,379.723,28,1,
1,379.83,29,1,
1,380.798,30,1,
1,382.014,31,1,
1,382.597,31,1,
1,383.681,31,1,
1,384.444,31,1,
1,384.935,31,1,
1,385.119,32,1,
1,385.377,33,1,
1,385.801,33,1,
1,386.63,32,1,
1,387.805,31,1,
1,388.996,32,1,
1,390.123,32,1,
1,390.506,32,1,
1,391.19,31,1,
1,391.461,30,1,
1,391.937,31,1,
1,392.08,32,1,
1,392.561,33,1,
1,392.599,34,1,
1,395.229,33,1,
1,395.574,34,1,
1,396.543,35,1,
1,397.62,36,1,
1,400.088,30,1,
1,400.704,30,1,
1,401.11,30,1,
1,401.52,30,1,
1,401.682,31,1,
1,405.229,31,1,
1,405.527,32,1,
1,406.171,33,1,
