(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,292.788,9,1,
1,294.311,10,1,
1,295.249,9,1,
1,296.104,9,1,
1,297.917,7,1,
1,299.033,6,1,
1,299.882,6,1,
1,300.303,5,1,
1,300.54,6,1,
1,300.557,7,1,
1,301.12,8,1,
1,303.787,7,1,
1,304.634,8,1,
1,308.501,7,1,
1,308.646,8,1,
1,309.692,9,1,
1,309.983,9,1,
1,314.435,7,1,
1,315.615,8,1,
1,316.045,9,1,
1,317.489,10,1,
1,319.704,11,1,
1,320.117,12,1,
1,321.166,11,1,
1,324.365,8,1,
1,325.963,6,1,
1,328.472,6,1,
1,329.074,6,1,
1,329.087,7,1,
1,330.461,8,1,
1,333.213,8,1,
1,333.802,9,1,
1,334.396,8,1,
1,337.505,9,1,
1,338.743,9,1,
1,339.374,10,1,
1,342.669,9,1,
1,343.158,10,1,
1,343.566,11,1,
1,344.493,10,1,
1,344.506,11,1,
1,345.014,11,1,
1,345.1,12,1,
1,347.189,10,1,
1,352.144,5,1,
1,355.308,5,1,
1,356.38,5,1,
1,357.349,5,1,
1,357.457,6,1,
1,357.714,7,1,
1,363.755,4,1,
1,366.139,3,1,
1,366.784,4,1,
1,367.135,3,1,
1,368.418,4,1,
1,369.113,5,1,
1,369.558,6,1,
1,370.341,7,1,
1,370.844,6,1,
1,371.927,7,1,
1,372.187,7,1,
1,373.829,8,1,
1,374.714,8,1,
1,375.155,8,1,
1,377.853,7,1,
1,380.676,4,1,
1,380.768,5,1,
1,381.385,6,1,
1,382.201,7,1,
1,383.55,6,1,
1,384.636,6,1,
1,387.462,4,1,
1,389.814,1,1,
1,391.268,1,1,
1,392.75,1,1,
1,394.037,1,1,
1,398.184,0,0,
1,398.708,0,0,
1,399.435,0,0,
1,399.771,0,1,
1,401.2,1,1,
1,401.771,2,1,
1,403.396,2,1,
1,403.565,3,1,
1,405.182,0,0,
1,407.016,0,0,
1,407.297,0,0,
1,407.811,0,1,
1,408.053,1,1,
1,408.26,1,1,
1,409.142,1,1,
1,411.883,0,1,
1,412.805,0,1,
1,414.41,0,1,
1,416.32,1,1,
1,417.018,2,1,
1,417.653,3,1,
1,421.3,1,1,
1,421.408,1,1,
1,421.877,2,1,
1,422.306,2,1,
1,423.008,3,1,
1,424.414,0,1,
1,424.975,0,1,
1,425.749,1,1,
1,425.897,2,1,
1,426.133,3,1,
1,426.921,1,1,
1,430.076,0,0,
1,430.416,0,1,
1,435.182,0,0,
1,435.355,0,1,
1,436.123,0,0,
1,440.294,0,0,
1,441.52,0,0,
1,441.74,0,1,
1,442.095,1,1,
1,442.463,1,1,
1,443.036,1,1,
1,443.563,2,1,
1,444.757,2,1,
1,444.76,3,1,
1,449.69,0,0,
1,454.09,0,0,
1,454.28,0,1,
1,454.817,0,1,
1,455.113,0,0,
1,455.522,0,1,
1,455.598,1,1,
1,455.832,1,1,
1,457.522,2,1,
1,457.871,3,1,
1,458.852,4,1,
1,459.822,5,1,
1,460.279,5,1,
1,461.668,4,1,
1,463.358,4,1,
1,463.858,4,1,
1,464.44,4,1,
1,465.432,4,1,
1,465.493,5,1,
1,465.582,6,1,
1,465.85,7,1,
1,466.054,7,1,
1,466.404,7,1,
1,467.591,6,1,
1,469.526,6,1,
1,470.177,6,1,
1,471.075,5,1,
1,471.608,5,1,
1,472.384,6,1,
1,472.869,7,1,
1,474.324,8,1,
1,476.962,6,1,
1,476.985,7,1,
1,477.966,6,1,
1,478.95,7,1,
1,478.997,8,1,
1,479.926,7,1,
1,480.17,8,1,
1,481.856,9,1,
1,482.431,10,1,
1,482.501,11,1,
1,482.654,12,1,
1,483.003,13,1,
1,483.502,14,1,
1,484.458,14,1,
1,484.82,15,1,
1,486.809,14,1,
1,486.839,15,1,
1,487.053,16,1,
1,487.927,17,1,
1,488.35,17,1,
1,488.55,18,1,
1,490.299,18,1,
1,490.325,19,1,
1,490.552,20,1,
1,490.657,21,1,
1,491.659,20,1,
1,491.766,21,1,
1,491.887,22,1,
1,494.653,21,1,
1,497.032,19,1,
1,498.657,16,1,
1,499.2,16,1,
1,502.254,16,1,
1,502.288,17,1,
1,504.735,12,1,
1,505.571,13,1,
1,505.843,14,1,
1,506.298,14,1,
1,508.904,14,1,
1,509.727,14,1,
1,511.325,14,1,
1,511.672,15,1,
1,512.701,15,1,
1,514.307,16,1,
1,515.044,17,1,
1,515.649,17,1,
1,515.851,17,1,
1,516.545,18,1,
1,517.514,18,1,
1,517.937,18,1,
1,521.243,17,1,
1,521.284,18,1,
1,521.494,19,1,
1,522.503,20,1,
1,523.041,20,1,
1,523.417,20,1,
1,523.785,21,1,
1,524.714,22,1,
1,525.637,22,1,
1,527.393,21,1,
1,527.404,22,1,
1,527.408,23,1,
1,527.696,23,1,
1,532.433,22,1,
1,534.117,21,1,
1,537.963,13,1,
1,540.003,11,1,
1,540.887,11,1,
(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,1.71058,0,0,
1,2.31621,0,1,
1,2.54251,1,1,
1,2.96104,2,1,
1,3.76065,1,1,
1,3.92223,2,1,
1,4.53747,3,1,
1,4.80609,3,1,
1,6.43376,2,1,
1,8.55302,2,1,
1,9.2389,2,1,
1,9.41855,3,1,
1,9.57024,4,1,
1,10.5578,3,1,
1,12.1768,2,1,
1,12.2377,3,1,
1,13.4988,1,1,
1,14.5051,1,1,
1,15.1825,1,1,
1,15.7043,0,0,
1,17.2229,0,0,
1,18.7654,0,0,
1,20.2873,0,0,
1,20.6557,0,1,
1,21.1166,1,1,
1,23.162,1,1,
1,23.3073,2,1,
1,24.275,3,1,
1,25.0786,2,1,
1,25.2604,3,1,
1,26.3207,4,1,
1,27.8879,1,1,
1,28.3003,2,1,
1,28.3887,3,1,
1,31.9824,0,1,
1,32.5998,1,1,
1,32.9148,2,1,
1,34.9377,0,1,
1,35.6484,1,1,
1,35.8462,2,1,
1,37.4003,1,1,
1,38.1662,0,0,
1,38.3234,0,1,
1,38.9278,0,0,
1,39.0804,0,0,
1,41.3402,0,0,
1,41.4556,0,1,
1,41.9554,1,1,
1,42.4566,2,1,
1,43.1257,2,1,
1,43.3607,3,1,
1,43.5547,4,1,
1,43.8986,4,1,
1,44.6195,5,1,
1,45.3135,6,1,
1,48.1214,3,1,
1,48.5096,4,1,
1,48.8534,5,1,
1,49.0195,5,1,
1,49.6877,6,1,
1,51.122,6,1,
1,51.9622,7,1,
1,53.1747,8,1,
1,53.1751,9,1,
1,54.7182,10,1,
1,54.8951,10,1,
1,55.5807,10,1,
1,56.4521,11,1,
