(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,275.63,25,1,
1,277.136,23,1,
1,279.14,19,1,
1,280.393,19,1,
1,280.86,18,1,
1,281.492,17,1,
1,281.788,18,1,
1,282.319,18,1,
1,287.403,16,1,
1,288.254,16,1,
1,289.401,15,1,
1,292.64,11,1,
1,292.801,11,1,
1,293.196,12,1,
1,293.83,13,1,
1,294.594,12,1,
1,299.879,8,1,
1,299.936,9,1,
1,300.148,10,1,
1,302.874,10,1,
1,304.092,10,1,
1,304.102,11,1,
1,305.595,11,1,
1,307.302,12,1,
1,308.945,13,1,
1,309.8,14,1,
1,311.454,13,1,
1,312.017,14,1,
1,313.663,14,1,
1,314.714,15,1,
1,315.85,13,1,
1,315.941,14,1,
1,316.943,14,1,
1,317.153,15,1,
1,319.144,15,1,
1,319.633,16,1,
1,319.831,17,1,
1,319.853,18,1,
1,319.929,19,1,
1,322.142,20,1,
1,322.738,21,1,
1,322.899,22,1,
1,324.909,21,1,
1,325.904,21,1,
1,326.763,22,1,
1,327.202,23,1,
1,327.246,24,1,
1,327.921,24,1,
1,328.861,25,1,
1,330.967,24,1,
1,331.747,25,1,
1,331.942,26,1,
1,336.29,24,1,
1,337.759,25,1,
1,338.143,26,1,
1,338.726,27,1,
1,338.795,28,1,
1,339.333,28,1,
1,339.997,28,1,
1,340.452,29,1,
1,341.178,29,1,
1,341.266,30,1,
1,342.114,31,1,
1,343.675,31,1,
1,345.947,29,1,
1,346.471,28,1,
1,347.53,28,1,
1,347.711,29,1,
1,347.734,30,1,
1,347.785,31,1,
1,347.918,32,1,
1,349.648,33,1,
1,349.774,34,1,
1,351.237,32,1,
1,351.732,33,1,
1,351.735,34,1,
1,353.826,34,1,
1,355.077,34,1,
1,356.421,35,1,
1,356.995,36,1,
1,357.031,37,1,
1,358.712,37,1,
1,358.997,35,1,
1,359.272,36,1,
1,359.514,37,1,
1,365.036,36,1,
1,365.053,37,1,
1,366.186,36,1,
1,367.53,36,1,
1,368.455,36,1,
1,368.67,37,1,
1,368.787,38,1,
1,372.658,35,1,
1,372.763,36,1,
1,374.079,35,1,
1,374.735,36,1,
1,375.284,36,1,
1,376.362,36,1,
1,376.537,36,1,
1,376.919,35,1,
1,377.105,34,1,
1,378.338,35,1,
1,380.297,33,1,
1,380.399,34,1,
1,383.012,35,1,
1,384.206,35,1,
1,385.287,35,1,
1,385.718,36,1,
1,387.86,36,1,
1,388.573,36,1,
1,389.701,37,1,
1,391.05,37,1,
1,392.634,38,1,
1,392.871,39,1,
1,394.709,39,1,
1,394.94,40,1,
1,395.104,40,1,
1,395.928,40,1,
1,397.108,38,1,
1,397.483,39,1,
1,397.774,39,1,
1,397.88,40,1,
1,399.635,40,1,
1,399.64,41,1,
1,399.712,42,1,
1,401.989,40,1,
1,402.669,41,1,
1,403.825,41,1,
1,403.956,42,1,
1,404.408,43,1,
1,405.187,44,1,
1,407.3,44,1,
1,408.925,43,1,
1,408.977,44,1,
1,409.947,45,1,
1,410.538,45,1,
1,410.548,46,1,
1,411.482,46,1,
1,411.796,47,1,
1,413.466,47,1,
1,414.43,48,1,
1,416.038,49,1,
1,416.592,50,1,
1,417.241,50,1,
1,417.353,51,1,
1,418.691,50,1,
1,423.479,48,1,
1,424.345,48,1,
1,425.215,47,1,
1,425.228,48,1,
1,425.306,49,1,
1,426.046,48,1,
1,426.245,48,1,
1,426.277,49,1,
1,426.958,49,1,
1,428.294,49,1,
1,429.192,49,1,
1,430.028,47,1,
1,430.599,48,1,
1,430.875,49,1,
1,433.253,47,1,
1,433.703,47,1,
1,433.956,48,1,
1,434.356,47,1,
1,435.015,47,1,
1,435.446,48,1,
1,436.775,46,1,
1,439.081,43,1,
1,441.333,43,1,
1,441.533,44,1,
1,441.607,45,1,
1,442.16,45,1,
1,442.409,46,1,
1,443.388,47,1,
1,444.37,48,1,
1,445.096,49,1,
1,446.25,49,1,
1,449.667,46,1,
1,453.72,42,1,
1,456.583,39,1,
1,457.738,39,1,
1,457.778,40,1,
1,458.209,41,1,
1,458.252,42,1,
1,458.414,43,1,
1,461.68,39,1,
1,462.558,40,1,
1,463.629,41,1,
1,464.045,42,1,
1,465.362,42,1,
1,465.685,43,1,
1,466.501,43,1,
1,466.891,42,1,
1,467.509,43,1,
1,468.048,44,1,
1,469.119,42,1,
1,469.26,43,1,
1,469.3,44,1,
1,469.656,45,1,
1,469.995,45,1,
1,470.306,46,1,
1,472.371,46,1,
1,474.794,45,1,
1,477.131,45,1,
1,477.551,46,1,
1,479.332,47,1,
1,479.596,48,1,
1,481.906,47,1,
1,482.87,47,1,
1,483.355,47,1,
1,483.558,47,1,
1,483.823,48,1,
1,485.98,48,1,
1,487.77,49,1,
1,488.663,47,1,
1,489.879,48,1,
1,490.989,47,1,
1,491.476,48,1,
1,492.401,45,1,
1,493.259,46,1,
1,493.51,47,1,
1,493.869,46,1,
1,494.098,47,1,
1,495.847,47,1,
1,496.488,48,1,
1,499.667,42,1,
1,499.685,43,1,
1,501.228,43,1,
1,501.828,44,1,
1,502.832,44,1,
1,504.995,43,1,
1,505.445,44,1,
1,506.813,44,1,
1,507.086,45,1,
1,507.756,45,1,
1,510.097,43,1,
1,510.124,44,1,
1,510.939,45,1,
1,512.938,45,1,
1,513.076,46,1,
1,515.179,45,1,
1,517.02,46,1,
1,517.324,47,1,
1,517.504,48,1,
1,520.289,49,1,
1,520.302,50,1,
1,521.133,51,1,
1,521.578,52,1,
1,527.107,46,1,
1,527.207,47,1,
1,527.226,48,1,
1,527.408,49,1,
1,528.005,49,1,
1,528.885,50,1,
1,531.927,47,1,
1,532.78,47,1,
1,533.103,48,1,
1,534.337,47,1,
1,534.343,48,1,
1,534.962,48,1,
1,535.852,48,1,
1,536.215,49,1,
1,537.601,48,1,
1,537.914,49,1,
1,538.57,50,1,
1,538.598,51,1,
1,538.803,52,1,
1,540.07,52,1,
1,540.656,52,1,
1,541.559,51,1,
1,541.56,52,1,
1,545.254,50,1,
1,545.401,51,1,
1,545.627,52,1,
1,546.465,53,1,
1,547.138,53,1,
1,547.77,52,1,
1,549.003,51,1,
1,550.31,51,1,
1,550.495,52,1,
1,550.692,52,1,
1,551.225,53,1,
1,551.412,54,1,
1,555.693,51,1,
1,556.315,52,1,
1,557.469,53,1,
1,558.309,53,1,
1,558.45,54,1,
1,558.957,54,1,
1,559.462,54,1,
1,559.462,55,1,
1,560.396,56,1,
1,561.073,56,1,
1,561.39,57,1,
1,563.347,55,1,
1,564.635,54,1,
1,566.18,54,1,
1,567.87,54,1,
1,568.032,55,1,
1,569.041,56,1,
1,570.838,56,1,
1,571.028,57,1,
1,572.376,58,1,
1,574.262,57,1,
1,574.495,57,1,
1,575.247,57,1,
1,575.458,58,1,
1,576.896,57,1,
1,579.041,58,1,
1,580.33,58,1,
1,581.167,59,1,
1,582.416,58,1,
1,583.036,59,1,
1,586.302,58,1,
1,586.573,59,1,
1,586.695,60,1,
1,588.323,59,1,
1,590.296,59,1,
1,590.376,60,1,
1,592.465,60,1,
1,592.664,61,1,
1,592.932,61,1,
1,593.581,61,1,
1,595.231,61,1,
1,599.455,58,1,
1,599.596,59,1,
1,601.659,56,1,
1,602.973,56,1,
1,604.214,56,1,
1,604.572,57,1,
1,605.391,56,1,
1,606.321,56,1,
1,607.33,57,1,
1,607.828,57,1,
1,608.236,58,1,
1,608.266,59,1,
1,608.772,60,1,
1,608.871,61,1,
1,610.288,61,1,
1,611.743,62,1,
1,612.95,62,1,
1,614.94,61,1,
1,615.928,62,1,
1,616.85,62,1,
1,616.907,63,1,
1,617.061,64,1,
1,617.447,65,1,
1,617.539,66,1,
1,617.774,67,1,
1,617.925,68,1,
1,618.256,69,1,
1,619.415,67,1,
1,622.588,66,1,
1,623.298,67,1,
1,623.367,68,1,
1,624.229,69,1,
1,624.772,69,1,
1,624.941,70,1,
1,625.643,71,1,
1,628.51,68,1,
1,628.852,68,1,
1,629.522,69,1,
1,631.927,70,1,
1,634.491,68,1,
1,638.615,65,1,
1,639.678,66,1,
1,640.268,67,1,
1,641.14,68,1,
1,642.075,69,1,
1,642.306,70,1,
1,642.419,71,1,
1,642.756,72,1,
1,643.149,73,1,
1,643.171,74,1,
1,643.57,75,1,
1,643.796,76,1,
1,645.412,77,1,
1,645.925,77,1,
1,646.868,78,1,
1,647.53,79,1,
1,648.054,80,1,
1,651.06,78,1,
1,651.195,79,1,
1,652.821,79,1,
1,652.982,80,1,
1,653.406,81,1,
1,655.162,79,1,
1,655.802,80,1,
1,656.834,81,1,
1,657.193,80,1,
1,659.291,81,1,
1,660.66,81,1,
1,660.832,82,1,
1,660.901,83,1,
1,661.693,83,1,
1,662.506,82,1,
1,662.714,83,1,
1,664.271,82,1,
1,669.84,79,1,
1,670.236,80,1,
1,671.568,81,1,
1,671.604,82,1,
1,672.036,82,1,
1,673.047,82,1,
1,673.225,83,1,
1,673.856,82,1,
1,673.879,83,1,
1,677.322,74,1,
1,679.366,73,1,
1,679.736,74,1,
1,682.801,72,1,
1,686.803,70,1,
1,687.01,71,1,
1,687.856,72,1,
1,688.64,71,1,
1,689.709,71,1,
1,689.81,72,1,
1,690.662,69,1,
1,691.437,70,1,
1,693.248,70,1,
1,693.943,71,1,
1,695.23,69,1,
1,695.343,70,1,
1,695.49,71,1,
1,696.657,71,1,
1,697.942,71,1,
1,699.543,70,1,
1,699.77,71,1,
1,700.601,72,1,
1,703.908,70,1,
1,704.539,70,1,
1,705.358,70,1,
1,705.629,70,1,
1,706.677,69,1,
1,706.786,70,1,
1,710.733,70,1,
1,711.73,70,1,
1,713.49,68,1,
1,714.709,67,1,
1,718.322,63,1,
1,720.734,60,1,
1,721.129,61,1,
1,722.508,61,1,
1,723.339,62,1,
1,723.883,63,1,
1,724.042,64,1,
1,724.206,65,1,
1,726.629,65,1,
1,728.408,65,1,
1,728.604,66,1,
1,729.555,67,1,
1,730.105,68,1,
1,731.68,69,1,
1,732.903,70,1,
1,733.064,71,1,
1,733.608,71,1,
1,734.083,72,1,
1,736.234,70,1,
1,737.495,71,1,
1,741.976,69,1,
1,744.776,68,1,
1,746.006,68,1,
1,746.808,67,1,
1,748.041,65,1,
1,748.435,65,1,
1,748.565,66,1,
1,748.907,67,1,
1,749.003,68,1,
1,749.201,68,1,
1,749.414,68,1,
1,749.754,68,1,
1,749.755,69,1,
1,749.885,69,1,
1,750.432,70,1,
1,750.569,71,1,
1,750.808,72,1,
1,751.054,73,1,
1,751.798,73,1,
